profile_id	user_id	first_name	last_name	dob	gender	religion	caste	mother_tongue	marital_status	completion_score	is_published	primary_photo_url	video_url	photo_privacy	profile_visibility	created_at	updated_at	verification_status	admin_status	moderation_score
9b6f7879-8743-4cf7-8a2a-ae3f8f7ca103	8ce244d6-4b17-43da-b7c7-79dc489e38a4	Pooja	Tiwari	2001-11-01	female	Hindu	Yadav	Hindi	never_married	88	t	https://api.dicebear.com/9.x/personas/png?seed=Hindi-bride-180&backgroundColor=fff0f3,fef3c7,e0f2fe		all	all	2026-04-30 10:23:24.5801	2026-04-30 10:23:24.5801	pending	active	0.00
0b0bd89d-9af5-478b-828c-ec4c0c253891	c70b47f6-8da2-4c14-9f7a-6490407b7dbf	Sayali	Gokhale	2001-05-05	female	Hindu	Kunbi	Marathi	never_married	88	t	https://api.dicebear.com/9.x/personas/png?seed=Marathi-bride-360&backgroundColor=fff0f3,fef3c7,e0f2fe		all	all	2026-04-30 10:23:24.5801	2026-04-30 10:23:24.5801	pending	active	0.00
b51b6357-2a4d-4105-8b81-f67f3ce0cdac	3109de98-2dd9-42e4-a943-be1bca587891	Riddhi	Joshi	1995-08-04	female	Hindu	Modh Baniya	Gujarati	never_married	94	t	https://api.dicebear.com/9.x/personas/png?seed=Gujarati-bride-270&backgroundColor=fff0f3,fef3c7,e0f2fe		all	all	2026-04-30 10:23:24.5801	2026-04-30 10:23:24.5801	pending	active	0.00
4d130a1f-73bf-4544-8095-f5a6decd7752	83ceb433-d129-484a-b341-9c8ff310696d	Kavya	Balasubramanian	1996-02-05	female	Hindu	Chettiar	Tamil	never_married	94	t	https://api.dicebear.com/9.x/personas/png?seed=Tamil-bride-450&backgroundColor=fff0f3,fef3c7,e0f2fe		all	all	2026-04-30 10:23:24.5801	2026-04-30 10:23:24.5801	pending	active	0.00
52839998-40fb-403e-aad8-fbcc7bb7d9df	aab641f2-ece9-4c3b-957d-786b4d7af66a	Kavya	Balasubramanian	1996-01-31	female	Hindu	Chettiar	Tamil	never_married	94	t	https://api.dicebear.com/9.x/personas/png?seed=Tamil-bride-90&backgroundColor=fff0f3,fef3c7,e0f2fe		all	all	2026-04-30 10:23:24.5801	2026-04-30 10:23:24.5801	pending	active	0.00
b7895019-b8d1-4092-ab93-5adc7defd3b1	f6baa8bb-9e67-46d5-aa03-2e5b8a996ab0	Madhavi	Avuduri	1998-04-03	female	Hindu	Kapu	Telugu 	never_married	90	t	/uploads/1777483505873-bq6f6q4lhmd.jpg		all	all	2026-04-29 17:20:06.646375	2026-04-30 10:00:27.10154	verified	active	0.00
c13a0686-eace-45ec-8603-414aa7971a43	c606768c-44c3-4e0d-994f-9035be56b7cd	Anand	Reddy	2000-06-09	male	Hindu	Kapu	Telugu 	widowed	90	t	/uploads/1777537790259-8igh8xgwosm.jpg		all	all	2026-04-29 14:28:04.500763	2026-04-30 10:00:28.086159	verified	active	0.00
0f38db4f-cb56-4d20-b455-feb9bc346837	e483004a-112d-4165-82e5-27fe0953d795	Amarnath	Reddy	1990-05-05	male	Christian	SC	Telugu	divorced	75	t			matches_only	all	2026-04-29 10:41:42.003161	2026-04-29 11:47:37.943705	pending	active	0.00
e60cc352-9b68-4d0b-911b-31fb338b2ffd	eeeb3788-d995-4b2c-a3c1-0fffb974f805	Soumya	Pattnaik	1994-08-02	male	Hindu	Karana	Odia	never_married	95	t	https://api.dicebear.com/9.x/personas/png?seed=Odia-groom-271&backgroundColor=e0f2fe,f3e8ff,fef3c7		all	all	2026-04-29 10:23:24.5801	2026-04-30 10:23:24.5801	verified	active	0.00
07708ac7-c9e0-48e9-bcd4-4bd5da6cc716	0f6b3c18-1147-4060-93b2-960fbb752e55	Arjun	Reddy	2000-05-04	male	Hindu	Reddy	Telugu	never_married	89	t	https://api.dicebear.com/9.x/personas/png?seed=Telugu-groom-361&backgroundColor=e0f2fe,f3e8ff,fef3c7		all	all	2026-04-29 10:23:24.5801	2026-04-30 10:23:24.5801	verified	active	0.00
